shot_id,player,team,position,situation,body_part,x,y,distance,angle,is_header,is_penalty,is_corner,is_freekick,is_goal,outcome,xg_model,source
1,Mesut Özil,Arsenal,Midfielder,open_play,foot,112.06,51.84,14.257,0.326984,0,0,0,0,1,goal,0.2463,Premier League 2020
2,Mesut Özil,Arsenal,Midfielder,free_kick,foot,102.75,49.15,19.533,0.361085,0,0,0,1,1,goal,0.1989,Premier League 2020
3,Mesut Özil,Arsenal,Midfielder,penalty,foot,108.0,40.0,12.0,0.643501,0,1,0,0,0,blocked,0.8851,Premier League 2020
4,Mesut Özil,Arsenal,Midfielder,free_kick,foot,95.76,31.27,25.768,0.290833,0,0,0,1,0,blocked,0.1264,Premier League 2020
5,Mesut Özil,Arsenal,Midfielder,penalty,foot,108.0,40.0,12.0,0.643501,0,1,0,0,1,goal,0.8851,Premier League 2020
6,Mesut Özil,Arsenal,Midfielder,open_play,foot,90.89,68.24,40.558,0.141997,0,0,0,0,0,off_target,0.0438,Premier League 2020
7,Mesut Özil,Arsenal,Midfielder,free_kick,foot,96.27,25.4,27.863,0.244701,0,0,0,1,0,off_target,0.1018,Premier League 2020
8,Mesut Özil,Arsenal,Midfielder,free_kick,foot,107.29,34.43,13.883,0.522252,0,0,0,1,0,saved,0.3472,Premier League 2020
9,Mesut Özil,Arsenal,Midfielder,open_play,foot,81.46,38.54,38.571,0.206528,0,0,0,0,0,blocked,0.0577,Premier League 2020
10,Mesut Özil,Arsenal,Midfielder,free_kick,foot,104.32,46.41,16.94,0.433587,0,0,0,1,0,off_target,0.2597,Premier League 2020
11,Mesut Özil,Arsenal,Midfielder,free_kick,foot,94.52,33.23,26.361,0.291646,0,0,0,1,0,blocked,0.1231,Premier League 2020
12,Mesut Özil,Arsenal,Midfielder,open_play,foot,76.31,57.22,46.96,0.158319,0,0,0,0,0,blocked,0.0326,Premier League 2020
13,Mesut Özil,Arsenal,Midfielder,free_kick,foot,96.1,42.2,24.005,0.328941,0,0,0,1,1,goal,0.1507,Premier League 2020
14,Mesut Özil,Arsenal,Midfielder,open_play,foot,95.79,43.91,24.528,0.319443,0,0,0,0,0,saved,0.1539,Premier League 2020
15,Mesut Özil,Arsenal,Midfielder,corner,foot,109.18,31.37,13.835,0.458296,0,0,1,0,1,goal,0.2937,Premier League 2020
16,Mesut Özil,Arsenal,Midfielder,corner,foot,102.29,35.98,18.16,0.424084,0,0,1,0,0,saved,0.2295,Premier League 2020
17,Mesut Özil,Arsenal,Midfielder,open_play,head,87.82,27.62,34.483,0.21605,1,0,0,0,0,saved,0.0562,Premier League 2020
18,Mesut Özil,Arsenal,Midfielder,corner,foot,111.29,35.88,9.638,0.736427,0,0,1,0,0,saved,0.5329,Premier League 2020
19,Mesut Özil,Arsenal,Midfielder,open_play,head,79.78,53.34,42.373,0.178875,1,0,0,0,0,off_target,0.0336,Premier League 2020
20,Mesut Özil,Arsenal,Midfielder,open_play,foot,82.4,51.78,39.405,0.193311,0,0,0,0,0,saved,0.0534,Premier League 2020
21,Mesut Özil,Arsenal,Midfielder,open_play,foot,102.47,31.71,19.39,0.371453,0,0,0,0,1,goal,0.2182,Premier League 2020
22,Mesut Özil,Arsenal,Midfielder,open_play,foot,114.16,51.98,13.33,0.281286,0,0,0,0,0,saved,0.2323,Premier League 2020
23,Mesut Özil,Arsenal,Midfielder,free_kick,foot,101.77,38.38,18.3,0.428892,0,0,0,1,0,off_target,0.2431,Premier League 2020
24,Mesut Özil,Arsenal,Midfielder,open_play,foot,95.14,22.14,30.607,0.212696,0,0,0,0,0,saved,0.088,Premier League 2020
25,Lucas Torreira,Arsenal,Midfielder,free_kick,head,104.85,48.27,17.265,0.405904,1,0,0,1,0,blocked,0.1942,Premier League 2020
26,Lucas Torreira,Arsenal,Midfielder,corner,foot,109.68,46.59,12.245,0.552327,0,0,1,0,1,goal,0.3712,Premier League 2020
27,Lucas Torreira,Arsenal,Midfielder,open_play,foot,77.75,39.64,42.254,0.188763,0,0,0,0,0,blocked,0.0454,Premier League 2020
28,Lucas Torreira,Arsenal,Midfielder,open_play,head,100.68,20.24,27.638,0.203791,1,0,0,0,0,off_target,0.0773,Premier League 2020
29,Lucas Torreira,Arsenal,Midfielder,corner,foot,109.82,19.0,23.335,0.152912,0,0,1,0,0,blocked,0.0949,Premier League 2020
30,Lucas Torreira,Arsenal,Midfielder,open_play,foot,79.47,39.2,40.533,0.196694,0,0,0,0,0,blocked,0.0508,Premier League 2020
31,Lucas Torreira,Arsenal,Midfielder,penalty,foot,108.0,40.0,12.0,0.643501,0,1,0,0,1,goal,0.8851,Premier League 2020
32,Lucas Torreira,Arsenal,Midfielder,free_kick,foot,97.45,38.05,22.63,0.348698,0,0,0,1,1,goal,0.1682,Premier League 2020
33,Lucas Torreira,Arsenal,Midfielder,open_play,foot,113.64,18.41,22.503,0.103406,0,0,0,0,0,saved,0.0999,Premier League 2020
34,Lucas Torreira,Arsenal,Midfielder,open_play,foot,87.81,49.57,33.579,0.227643,0,0,0,0,0,off_target,0.0787,Premier League 2020
35,Lucas Torreira,Arsenal,Midfielder,free_kick,head,106.15,31.37,16.318,0.416693,1,0,0,1,1,goal,0.2074,Premier League 2020
36,Lucas Torreira,Arsenal,Midfielder,open_play,foot,110.85,58.5,20.634,0.17675,0,0,0,0,0,blocked,0.1312,Premier League 2020
37,Lucas Torreira,Arsenal,Midfielder,open_play,foot,97.63,25.36,26.734,0.250716,0,0,0,0,0,off_target,0.1173,Premier League 2020
38,Lucas Torreira,Arsenal,Midfielder,open_play,head,94.27,69.54,39.174,0.134705,1,0,0,0,0,saved,0.0353,Premier League 2020
39,Lucas Torreira,Arsenal,Midfielder,open_play,foot,113.52,41.13,6.573,1.087152,0,0,0,0,1,goal,0.8073,Premier League 2020
40,Lucas Torreira,Arsenal,Midfielder,free_kick,foot,100.56,35.96,19.859,0.390016,0,0,0,1,1,goal,0.2091,Premier League 2020
41,Lucas Torreira,Arsenal,Midfielder,free_kick,foot,106.61,31.71,15.748,0.432561,0,0,0,1,1,goal,0.2719,Premier League 2020
42,Lucas Torreira,Arsenal,Midfielder,free_kick,foot,89.37,29.74,32.302,0.234115,0,0,0,1,0,off_target,0.0794,Premier League 2020
43,Lucas Torreira,Arsenal,Midfielder,penalty,foot,108.0,40.0,12.0,0.643501,0,1,0,0,1,goal,0.8851,Premier League 2020
44,Lucas Torreira,Arsenal,Midfielder,penalty,foot,108.0,40.0,12.0,0.643501,0,1,0,0,1,goal,0.8851,Premier League 2020
45,Lucas Torreira,Arsenal,Midfielder,free_kick,head,86.31,31.35,34.786,0.222014,1,0,0,1,0,saved,0.0521,Premier League 2020
46,Lucas Torreira,Arsenal,Midfielder,free_kick,head,97.14,46.22,23.691,0.32362,1,0,0,1,0,blocked,0.1185,Premier League 2020
47,Lucas Torreira,Arsenal,Midfielder,open_play,foot,106.05,54.34,20.007,0.282686,0,0,0,0,1,goal,0.1738,Premier League 2020
48,Lucas Torreira,Arsenal,Midfielder,open_play,foot,92.7,28.06,29.8,0.24542,0,0,0,0,0,saved,0.0996,Premier League 2020
49,Ainsley Maitland-Niles,Arsenal,Midfielder,corner,foot,103.73,58.69,24.781,0.214287,0,0,1,0,1,goal,0.1031,Premier League 2020
50,Ainsley Maitland-Niles,Arsenal,Midfielder,corner,foot,110.68,22.66,19.687,0.198045,0,0,1,0,0,off_target,0.1269,Premier League 2020
51,Ainsley Maitland-Niles,Arsenal,Midfielder,open_play,foot,101.03,65.98,32.168,0.14785,0,0,0,0,0,blocked,0.0688,Premier League 2020
52,Ainsley Maitland-Niles,Arsenal,Midfielder,open_play,foot,76.75,16.55,49.2,0.142913,0,0,0,0,0,saved,0.0278,Premier League 2020
53,Ainsley Maitland-Niles,Arsenal,Midfielder,free_kick,foot,97.68,43.39,22.579,0.347,0,0,0,1,0,off_target,0.1679,Premier League 2020
54,Ainsley Maitland-Niles,Arsenal,Midfielder,corner,foot,105.48,36.74,14.878,0.514666,0,0,1,0,0,off_target,0.3149,Premier League 2020
55,Ainsley Maitland-Niles,Arsenal,Midfielder,penalty,foot,108.0,40.0,12.0,0.643501,0,1,0,0,1,goal,0.8851,Premier League 2020
56,Ainsley Maitland-Niles,Arsenal,Midfielder,open_play,foot,110.3,16.32,25.594,0.120886,0,0,0,0,1,goal,0.0895,Premier League 2020
57,Ainsley Maitland-Niles,Arsenal,Midfielder,open_play,foot,82.14,59.48,42.578,0.166991,0,0,0,0,0,off_target,0.0421,Premier League 2020
58,Ainsley Maitland-Niles,Arsenal,Midfielder,open_play,foot,82.95,27.08,39.235,0.192155,0,0,0,0,0,blocked,0.0537,Premier League 2020
59,Ainsley Maitland-Niles,Arsenal,Midfielder,open_play,head,78.33,20.48,46.019,0.157312,1,0,0,0,0,blocked,0.0261,Premier League 2020
60,Ainsley Maitland-Niles,Arsenal,Midfielder,corner,foot,105.87,31.99,16.239,0.428033,0,0,1,0,0,off_target,0.2507,Premier League 2020
61,Ainsley Maitland-Niles,Arsenal,Midfielder,penalty,foot,108.0,40.0,12.0,0.643501,0,1,0,0,1,goal,0.8851,Premier League 2020
62,Ainsley Maitland-Niles,Arsenal,Midfielder,open_play,foot,86.47,44.27,33.797,0.233788,0,0,0,0,0,saved,0.0791,Premier League 2020
63,Mohamed Elneny,Arsenal,Midfielder,open_play,foot,98.0,16.1,32.485,0.167771,0,0,0,0,0,saved,0.0713,Premier League 2020
64,Mohamed Elneny,Arsenal,Midfielder,open_play,foot,80.16,60.61,44.855,0.158335,0,0,0,0,0,saved,0.0365,Premier League 2020
65,Mohamed Elneny,Arsenal,Midfielder,open_play,foot,108.74,48.55,14.139,0.455512,0,0,0,0,0,off_target,0.3203,Premier League 2020
66,Mohamed Elneny,Arsenal,Midfielder,free_kick,foot,97.31,51.44,25.409,0.280651,0,0,0,1,0,saved,0.1255,Premier League 2020
67,Mohamed Elneny,Arsenal,Midfielder,free_kick,foot,91.86,28.47,30.408,0.242852,0,0,0,1,0,blocked,0.0893,Premier League 2020
68,Mohamed Elneny,Arsenal,Midfielder,open_play,foot,91.44,31.98,29.668,0.25851,0,0,0,0,0,blocked,0.1036,Premier League 2020
69,Mohamed Elneny,Arsenal,Midfielder,open_play,foot,88.47,66.93,41.467,0.147007,0,0,0,0,0,blocked,0.0423,Premier League 2020
70,Mohamed Elneny,Arsenal,Midfielder,penalty,foot,108.0,40.0,12.0,0.643501,0,1,0,0,1,goal,0.8851,Premier League 2020
71,Mohamed Elneny,Arsenal,Midfielder,open_play,foot,103.41,58.26,24.674,0.220261,0,0,0,0,0,off_target,0.1202,Premier League 2020
72,Mohamed Elneny,Arsenal,Midfielder,corner,foot,112.7,26.91,14.993,0.272826,0,0,1,0,0,blocked,0.1884,Premier League 2020
73,Mohamed Elneny,Arsenal,Midfielder,penalty,head,108.0,40.0,12.0,0.643501,1,1,0,0,1,goal,0.8534,Premier League 2020
74,Mohamed Elneny,Arsenal,Midfielder,corner,foot,99.69,59.18,27.936,0.209436,0,0,1,0,0,saved,0.0871,Premier League 2020
75,Mohamed Elneny,Arsenal,Midfielder,penalty,foot,108.0,40.0,12.0,0.643501,0,1,0,0,1,goal,0.8851,Premier League 2020
76,Mohamed Elneny,Arsenal,Midfielder,penalty,foot,108.0,40.0,12.0,0.643501,0,1,0,0,1,goal,0.8851,Premier League 2020
77,Mohamed Elneny,Arsenal,Midfielder,penalty,foot,108.0,40.0,12.0,0.643501,0,1,0,0,1,goal,0.8851,Premier League 2020
78,Mohamed Elneny,Arsenal,Midfielder,penalty,head,108.0,40.0,12.0,0.643501,1,1,0,0,1,goal,0.8534,Premier League 2020
79,Mohamed Elneny,Arsenal,Midfielder,open_play,foot,100.04,37.96,20.062,0.391764,0,0,0,0,0,saved,0.2216,Premier League 2020
80,Mohamed Elneny,Arsenal,Midfielder,free_kick,foot,96.83,43.19,23.391,0.335813,0,0,0,1,0,off_target,0.1576,Premier League 2020
81,Mohamed Elneny,Arsenal,Midfielder,penalty,head,108.0,40.0,12.0,0.643501,1,1,0,0,1,goal,0.8534,Premier League 2020
82,Mohamed Elneny,Arsenal,Midfielder,open_play,foot,93.58,56.46,31.126,0.218274,0,0,0,0,0,off_target,0.087,Premier League 2020
83,Mohamed Elneny,Arsenal,Midfielder,open_play,foot,108.03,26.23,18.246,0.293517,0,0,0,0,0,blocked,0.1928,Premier League 2020
84,Mohamed Elneny,Arsenal,Midfielder,open_play,head,82.21,66.17,45.968,0.143189,1,0,0,0,0,off_target,0.0252,Premier League 2020
85,Mohamed Elneny,Arsenal,Midfielder,open_play,foot,99.23,66.17,33.412,0.149904,0,0,0,0,0,blocked,0.0649,Premier League 2020
86,Mohamed Elneny,Arsenal,Midfielder,open_play,foot,117.44,53.07,13.314,0.126387,0,0,0,0,0,blocked,0.164,Premier League 2020
87,Joseph Willock,Arsenal,Midfielder,open_play,foot,102.76,17.32,28.494,0.17161,0,0,0,0,0,saved,0.0881,Premier League 2020
88,Joseph Willock,Arsenal,Midfielder,free_kick,head,95.99,50.41,26.166,0.279671,1,0,0,1,0,off_target,0.094,Premier League 2020
89,Joseph Willock,Arsenal,Midfielder,open_play,foot,88.68,65.11,40.14,0.155792,0,0,0,0,0,blocked,0.0465,Premier League 2020
90,Joseph Willock,Arsenal,Midfielder,open_play,foot,112.93,27.03,14.77,0.272961,0,0,0,0,0,saved,0.2145,Premier League 2020
91,Joseph Willock,Arsenal,Midfielder,open_play,foot,103.96,49.01,18.397,0.37876,0,0,0,0,1,goal,0.2312,Premier League 2020
92,Joseph Willock,Arsenal,Midfielder,free_kick,head,91.3,28.58,30.891,0.24,1,0,0,1,0,off_target,0.0668,Premier League 2020
93,Joseph Willock,Arsenal,Midfielder,free_kick,foot,100.44,25.16,24.556,0.260551,0,0,0,1,1,goal,0.1244,Premier League 2020
94,Joseph Willock,Arsenal,Midfielder,open_play,head,101.45,58.09,25.91,0.2227,1,0,0,0,0,saved,0.0885,Premier League 2020
